Acceleration,Ballcontrol,Finishing,GKdiving,Aggression,POS
65,76,65,7,83,MID
68,63,43,10,87,DEF
89,77,75,14,58,ST
85,77,56,12,88,DEF
48,22,18,80,23,GK
75,72,50,7,76,DEF
71,78,55,12,71,DEF
88,79,73,14,39,ST
67,65,25,14,71,DEF
91,74,77,11,55,ST
89,80,53,7,67,DEF
55,67,21,13,76,DEF
59,24,14,83,24,GK
59,75,58,11,90,MID
62,80,70,15,77,MID
64,74,59,7,87,MID
54,72,51,12,68,DEF
85,83,63,13,69,MID
71,66,49,15,89,DEF
55,59,23,14,70,DEF
78,77,55,11,67,DEF
78,82,58,6,59,MID
67,81,61,12,67,MID
87,80,77,11,69,ST
79,76,33,7,75,DEF
75,77,75,7,80,DEF
41,21,17,77,36,GK
62,82,64,10,52,MID
89,77,74,14,65,ST
77,76,56,10,75,DEF
89,78,65,15,72,MID
59,82,56,7,71,MID
68,74,21,14,80,MID
58,76,65,9,77,MID
58,80,54,8,76,MID
66,73,41,15,69,DEF
84,74,60,8,69,DEF
49,20,14,73,27,GK
66,72,82,15,77,DEF
36,13,18,80,41,GK
44,23,11,78,23,GK
72,73,55,9,84,MID
67,78,78,7,68,MID
73,80,69,9,77,MID
75,77,61,14,74,MID
77,80,64,15,68,MID
55,71,36,10,85,DEF
68,68,45,11,80,DEF
89,78,74,7,52,ST
61,77,65,6,79,MID
74,82,66,9,86,MID
28,17,13,79,30,GK
68,77,75,9,77,DEF
86,79,72,13,58,ST
55,59,23,14,70,DEF
62,82,64,10,52,MID
69,64,52,9,77,DEF
82,77,38,3,76,DEF
87,80,77,11,69,ST
85,77,56,12,88,DEF
39,78,27,12,82,MID
60,70,62,15,90,MID
49,29,13,76,34,GK
35,12,13,78,34,GK
77,80,64,15,68,MID
69,80,65,11,51,MID
69,65,45,14,81,DEF
49,20,14,73,27,GK
75,77,61,14,74,MID
48,77,73,15,72,DEF
57,76,47,7,70,MID
71,66,49,15,89,DEF
77,76,67,7,72,DEF
59,82,56,7,71,MID
59,24,14,83,24,GK
89,77,75,14,58,ST
91,74,77,11,55,ST
68,73,33,6,76,DEF
33,49,50,10,76,DEF
84,74,60,8,69,DEF
45,16,19,76,39,GK
76,77,37,15,88,DEF
69,73,42,11,86,MID
33,59,46,14,77,DEF
68,80,46,7,79,MID
76,82,71,14,59,MID
33,59,38,16,71,DEF
60,81,69,11,73,MID
69,74,39,9,84,MID
77,78,40,15,79,DEF
34,73,45,12,76,DEF
79,73,56,13,83,MID
88,79,73,14,39,ST
78,79,66,14,85,MID
66,73,41,15,69,DEF
68,68,45,11,80,DEF
58,80,54,8,76,MID
65,76,65,7,83,MID
89,78,74,7,52,ST
71,78,55,12,71,DEF
75,75,59,12,86,DEF
64,38,12,83,23,GK
65,79,58,10,77,MID
75,80,70,7,71,MID
73,80,69,9,77,MID
68,63,43,10,87,DEF
40,16,13,76,39,GK
66,74,46,11,85,MID
41,21,17,77,36,GK
63,83,64,11,68,MID
79,81,55,5,74,MID
79,87,62,11,50,MID
55,71,36,10,85,DEF
66,78,77,15,75,DEF
78,75,57,15,89,DEF
44,23,15,80,33,GK
64,74,59,14,86,MID
33,68,45,16,77,DEF
64,39,13,81,35,GK
86,76,75,11,58,ST
73,76,78,12,72,DEF
61,77,65,6,79,MID
44,63,40,6,73,DEF
71,80,73,10,71,MID
78,75,45,11,70,DEF
61,77,57,13,72,DEF
37,21,11,82,35,GK
69,79,61,7,81,MID
68,76,65,10,83,MID
64,80,66,13,72,MID
75,72,50,7,76,DEF
84,78,49,14,85,DEF
77,82,59,13,75,DEF
66,65,27,15,79,DEF
54,72,51,12,68,DEF
67,65,25,14,71,DEF
85,83,63,13,69,MID
90,75,80,14,51,ST
30,25,12,81,39,GK
51,41,29,6,81,DEF
48,10,6,78,20,GK
63,77,44,8,64,MID
38,67,54,7,84,DEF
63,74,56,12,90,MID
74,79,64,12,60,MID
69,73,38,8,80,MID
71,73,37,8,68,MID
74,72,28,7,80,MID
41,21,8,77,34,GK
86,82,72,8,38,ST
36,51,23,3,83,DEF
69,60,24,6,73,DEF
91,75,59,7,76,DEF
36,66,50,6,81,DEF
68,52,34,8,85,DEF
72,71,56,11,77,MID
63,59,21,8,82,MID
45,20,11,77,39,GK
49,22,18,77,38,GK
44,55,16,12,78,DEF
34,64,23,12,81,DEF
60,59,26,15,75,DEF
65,76,62,16,70,MID
67,80,73,8,58,MID
70,79,61,10,92,MID
81,72,54,9,96,DEF
48,14,16,77,27,GK
84,75,69,7,73,DEF
88,71,45,13,68,DEF
66,49,26,14,80,DEF
75,83,64,6,79,MID
68,79,73,9,65,MID
90,76,77,15,74,ST
78,55,20,12,85,DEF
83,72,50,12,67,DEF
73,81,51,6,65,MID
57,48,33,10,76,MID
63,65,34,9,82,DEF
41,29,13,79,23,GK
34,62,30,7,66,DEF
65,76,50,8,78,MID
30,19,11,76,18,GK
72,74,53,10,83,MID
71,71,36,6,78,MID
69,70,31,7,75,MID
58,76,57,7,74,MID
60,72,55,15,87,MID
69,77,57,8,75,DEF
90,76,73,12,46,ST
68,76,55,8,83,MID
73,83,68,15,65,MID
60,62,21,5,79,DEF
75,77,60,11,76,MID
88,73,27,13,73,DEF
50,61,34,15,79,DEF
86,78,74,7,69,ST
60,26,10,77,30,GK
72,79,62,7,69,MID
54,14,11,75,35,GK
78,81,55,12,70,MID
32,15,12,69,38,GK
47,68,25,6,82,DEF
42,22,12,76,38,GK
76,77,45,12,82,MID
52,62,32,7,79,DEF
53,62,28,9,81,DEF
87,74,82,12,50,ST
70,62,30,13,73,DEF
83,73,50,6,69,DEF
72,71,56,11,77,MID
35,81,62,9,75,MID
34,20,14,79,29,GK
52,77,56,11,80,MID
90,70,80,11,70,ST
53,24,11,76,36,GK
62,55,29,16,73,DEF
35,14,14,76,35,GK
69,65,13,14,80,DEF
65,75,48,11,80,MID
75,76,72,14,78,MID
91,83,78,14,49,ST
50,25,11,77,39,GK
70,77,68,9,71,MID
53,75,51,15,76,MID
68,71,42,7,69,MID
52,22,17,75,40,GK
63,71,40,14,78,DEF
37,22,16,77,23,GK
65,74,45,10,73,MID
45,82,70,16,65,MID
76,79,51,11,73,DEF
87,78,79,8,70,ST
57,77,39,13,65,MID
93,73,77,13,57,ST
48,22,20,76,20,GK
67,52,21,15,79,DEF
66,78,76,14,69,MID
67,78,50,9,71,DEF
37,18,11,77,38,GK
67,66,56,7,76,DEF
52,63,35,15,82,MID
87,76,73,8,42,ST
52,64,18,11,74,DEF
59,67,50,6,93,MID
47,81,55,10,77,MID
35,32,16,75,38,GK
74,80,67,14,51,MID
76,79,63,10,82,MID
63,71,50,7,81,DEF
69,68,41,10,69,DEF
65,82,65,16,76,MID
48,38,19,77,23,GK
66,72,49,11,93,MID
72,77,49,8,82,MID
46,65,40,13,82,DEF
69,67,44,10,74,MID
74,77,56,9,78,MID
58,69,50,10,80,DEF
51,16,15,80,32,GK
65,77,68,10,74,MID
66,65,36,10,77,DEF
67,77,69,11,75,MID
66,81,64,8,68,MID
87,77,37,8,87,DEF
20,19,11,72,38,GK
44,74,44,8,80,MID
67,76,70,7,84,MID
69,75,51,10,77,DEF
76,77,55,15,86,MID
64,78,72,9,72,MID
51,75,35,15,69,DEF
54,66,29,9,80,DEF
34,47,33,11,79,DEF
78,77,60,12,71,MID
66,60,23,14,77,DEF
75,80,65,8,70,MID
72,72,27,12,80,MID
63,69,38,15,74,DEF
86,77,73,11,59,ST
71,73,59,8,79,DEF
41,21,8,77,34,GK
64,73,81,8,74,DEF
58,77,58,10,89,MID
74,77,55,10,70,MID
77,72,65,7,82,DEF
81,72,54,9,96,DEF
77,80,54,9,76,MID
88,71,45,13,68,DEF
32,33,13,74,43,GK
67,75,74,7,73,DEF
68,73,26,7,73,MID
54,64,26,16,76,DEF
33,61,19,14,79,DEF
64,65,35,7,68,DEF
71,73,65,15,84,DEF
43,63,30,10,82,DEF
72,75,68,12,69,DEF
70,64,22,8,89,DEF
50,25,11,78,45,GK
61,51,48,12,83,DEF
71,81,71,10,39,MID
65,69,44,10,78,DEF
68,74,45,8,84,MID
70,71,42,12,80,MID
64,62,48,14,82,DEF
66,68,30,15,78,DEF
75,65,30,9,81,MID
62,80,72,16,79,MID
64,79,46,13,79,MID
63,62,28,11,78,DEF
66,74,50,12,76,MID
65,75,68,14,82,MID
55,55,34,7,65,MID
68,76,61,8,75,MID
81,77,48,12,73,DEF
65,77,58,9,74,MID
73,80,39,11,82,MID
84,75,69,7,73,DEF
75,78,73,10,59,MID
79,74,36,12,88,DEF
69,64,48,13,73,MID
77,69,27,8,72,DEF
50,75,40,5,79,MID
44,21,11,77,34,GK
74,64,37,2,76,DEF
61,72,54,13,85,MID
69,80,33,7,79,MID
72,72,50,13,76,DEF
67,80,72,14,70,MID
77,76,34,10,55,DEF
87,76,73,8,42,ST
61,75,67,14,83,MID
68,78,63,15,69,MID
65,72,74,9,77,MID
70,75,71,9,80,MID
51,61,32,12,82,MID
66,68,40,9,83,DEF
60,68,24,14,77,DEF
67,62,49,6,76,MID
70,76,60,12,74,MID
74,80,65,12,74,MID
72,76,55,15,84,DEF
75,76,50,9,84,MID
65,82,55,11,85,MID
92,77,76,13,45,ST
40,64,30,14,75,DEF
65,73,56,10,86,MID
88,77,73,11,65,ST
89,74,72,16,43,ST
62,76,28,11,58,MID
58,20,9,77,35,GK
34,58,14,10,70,DEF
53,73,48,15,85,MID
31,21,7,71,41,GK
55,23,22,76,40,GK
83,80,76,14,76,MID
52,72,38,14,79,MID
43,28,14,77,45,GK
49,17,16,79,25,GK
45,56,40,9,88,DEF
44,74,58,12,76,MID
53,62,34,6,81,MID
78,76,49,12,75,DEF
74,79,64,9,63,MID
54,58,30,11,84,MID
74,78,67,9,76,MID
78,73,32,14,67,DEF
55,23,18,76,33,GK
64,77,64,15,71,MID
53,75,61,10,80,DEF
69,75,55,10,84,MID
57,77,78,13,80,DEF
41,23,10,74,34,GK
46,61,35,14,75,DEF
62,77,70,12,65,MID
65,76,60,11,76,MID
62,79,66,11,76,MID
55,68,22,6,78,DEF
61,63,41,15,70,MID
73,74,46,15,69,MID
72,68,26,7,82,MID
60,76,69,9,72,MID
64,76,73,8,66,MID
55,70,79,6,79,DEF
29,35,13,74,45,GK
45,76,60,7,81,MID
62,70,51,7,77,DEF
68,61,32,12,88,DEF
63,75,57,14,78,DEF
64,75,68,12,61,MID
63,64,29,13,82,MID
58,70,45,7,83,MID
60,74,37,9,86,MID
61,73,63,8,88,MID
66,74,47,16,80,MID
65,67,23,9,81,DEF
65,69,35,11,77,MID
65,78,51,14,84,MID
59,60,34,14,72,DEF
55,63,22,16,82,MID
67,72,37,11,75,DEF
40,64,29,8,87,DEF
86,77,77,9,51,ST
70,69,40,9,80,MID
55,52,51,9,88,DEF
73,78,65,16,72,MID
76,77,63,6,77,DEF
55,80,60,5,83,MID
75,73,54,12,78,MID
77,69,44,12,75,DEF
55,76,57,8,89,MID
37,16,11,72,43,GK
62,54,29,5,76,DEF
75,72,53,12,83,MID
74,78,58,5,60,MID
68,76,60,14,78,MID
66,69,33,7,81,MID
54,77,72,8,83,MID
66,74,59,10,70,MID
44,23,12,73,41,GK
66,76,38,13,76,MID
50,70,44,6,82,MID
71,73,40,15,71,DEF
88,72,74,12,62,MID
62,76,55,9,81,MID
68,79,66,8,86,MID
74,70,52,12,81,MID
68,77,60,13,75,MID
52,55,41,7,80,DEF
38,22,12,75,21,GK
40,74,41,6,63,DEF
56,60,43,14,82,DEF
95,76,78,7,33,ST
69,77,56,9,81,MID
67,79,58,11,62,MID
83,71,52,8,80,DEF
30,53,38,15,85,DEF
71,72,43,14,89,MID
48,32,14,77,28,GK
58,70,45,7,83,MID
47,18,12,79,29,GK
48,22,11,73,40,GK
41,33,16,76,26,GK
68,61,39,10,80,MID
